チーム名,期,カテゴリ,メンバー構成,v3合計(/100),v4課題発見(/25),v4分析の深さ(/25),v4伝える力(/25),v4実行と発展性(/25),v4合計(/100),審査員平均(/20),審査員順位,一般平均(/20),一般順位,v4総評
P(x),第2回 2024夏,都市,情報系高専5年/機械系高専3年/情報系高専3年/土木系高専4年/都市系高専専攻科2年,77,20,23,19,18,80,,,,,GVI+SVIの重畳分析で「緑と寄り道店舗が共存しない」を発見。NLVI提案は学術論文級。
take tech同盟,第2回 2024夏,都市,建築系高専4年/建築系高専3年/都市系大学4年/電気系高専2年,74,21,21,19,18,79,,,,,「避難不可能住民」を300m/5分基準で定義し73904人を特定。空き地活用で16813人改善を定量提示。
ハム専ギルド,第3回 2025春,都市,情報系高専3年/情報系高専2年x4/機械系高専2年,56,17,21,19,17,74,,,,,162頂点の離散グラフにDijkstra法を実装。車椅子モードで到達不能エリアを可視化。日常ナビ+災害シミュレーションの二面構想。
Toku冷st,第4回 2025夏,都市,電気電子系高専2年x4/電気電子系高専1年/情報系高専1年,55,15,18,21,17,71,17.67,1位,14.69,2位,全員1-2年生で200名アンケート+RESAS分析+AI快適度スコアリング。プレゼンの明快さが最大の武器。
なまら★ばらけナイト,第4回 2025夏,都市,土木系高専3年x3/情報系高専3年/機械系高専3年/高専1年,61,17,20,18,15,70,16.22,2位,16.15,1位,「なまらピーク値」の数学的定義と5大観光地への適用。累積分布の面積差という指標設計が秀逸。
TOKYO WalQs,第2回 2024夏,都市,経営系大学4年/情報系高専卒大学3年/通信制高校3年,55,15,21,18,14,68,,,,,76項目×29街路のPCA分析で8主成分を抽出。「洗練さのパラドックス」は都市計画の新知見。
ひょうたん島技勇団,第3回 2025春,都市,建築系高専2年/建築系高専3年x2/情報系高専4年,57,18,16,18,16,68,,,,,「災害対策の特別さ」という行動バリアの言語化が秀逸。GOURD防災ウォーキングの非対称スコアリング設計。
オラオlaundry,第1回 2024春,WEB,情報系高専5年/情報系高専2年/機械系大学4年/機械系高専卒,64,16,16,16,17,65,,,,,6つの具体的痛点の列挙と待ち行列理論の適用。仮説として提示する知的誠実さ。IoTセンサー実装済み。
東京みどリズム,第3回 2025春,都市,情報系高専3年x2/電気系高専2年x2/機械系高専5年/土木系高専3年/海洋系大学4年,50,14,20,17,14,65,,,,,Landsat NDVI 10年差分分析で「人口変化と緑化に相関なし」を実証。通説を覆すが提案が分析に追いついていない。
TKG商興会,第3回 2025春,都市,情報系高専1年x3/情報系高専3年x2/生物系大学3年,45,15,16,15,16,62,,,,,MLIT快適度指標を改変した21項目×37地点の独自調査。「歩行者専用道路にシャッター最多」の逆説的発見。
Ekochicket,第4回 2025夏,都市,建築系高専3年/情報系高専3年/化学系高専3年,56,17,16,16,13,62,16.11,3位,13.12,4位,P&R+人口集約のCO2シミュレーション。データ不足（駐車場5%のみ）を正直に開示した知的誠実さ。
setomorrow,第4回 2025夏,都市,情報系大学3年/情報系高専5年/情報系高専3年/商船系高専2年,45,12,13,17,16,58,15.78,4位,13.82,3位,29地域データベースとボードゲームの完成。44枚スライドでのデモが印象的。課題と手段の論理的接続が弱い。
さるく電街隊,第4回 2025夏,都市,電気電子系高専3年x3,59,14,15,13,15,57,14.89,5位,12.48,5位,7.7km・8往復のフィールドワーク。55枚スライドは冗長でデータから提案への論理飛躍がある。
めだまウォーク,第4回 2025夏,都市,情報系高専3年x3/機械系高専3年,44,14,13,15,14,56,別日開催,,17.20,※5名のみ,PLATEAU+Unity+アイトラッキングのプロトタイプ実装。二重バリア分類は秀逸だが受益者との接点が不足。
ゴリゴReact,第1回 2024春,WEB,情報系高専3年/情報系高専4年/電子系高専2年/情報系高専2年,60,14,13,12,16,55,,,,,高専生特化SNSを数週間で実装。スライド内容が確認できず伝える力は保守的に採点。
モジャモDjango,第1回 2024春,WEB,情報系大学2年/教養系大学2年/商学部卒社会人,56,14,13,12,15,54,,,,,「二軒前通知」は独創的。Webアプリ実装済み。スライド内容が確認できず伝える力は保守的に採点。
頑張らない画像認識,第1回 2024春,AI,情報系高専生4年,35,7,12,11,12,42,,,,,P>M>F階層による段階的省力化の枠組みは面白い。Streamlitデモ実装。社会課題解決の枠組みとの構造的不適合は残る。
画像分類の精度検証,第1回 2024春,AI,情報系高専生4年,29,6,8,8,9,31,,,,,スライド内容が確認できず評価困難。社会課題解決フレームとの根本的不適合。
